,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19
16298,16299,1,227,1,1,1,1,3,1,2,2,0,0,90,90,0,0,5,6,985701,1035831,0,0,1,1,1,3,2,2,2,2,1,0,0,0,0,5,2,0,0,0,0
16299,16300,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16300,16301,0,227,3,1,1,1,3,3,2,2,0,0,0,0,0,0,0,0,150,200,0,0,1,1,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16301,16302,1,76,3,3,1,3,1,3,2,2,0,0,0,0,0,0,0,0,1350000,1650000,0,0,3,1,3,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16302,16303,0,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,11000,11000,0,0,3,3,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16303,16304,1,227,3,1,1,3,3,1,2,2,0,0,0,0,41,44,0,0,90390,88332,0,0,3,3,1,3,2,1,2,2,0,0,0,43,0,0,0,0,0,0,0
16304,16305,0,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16305,16306,1,227,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,55800,56450,0,0,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
16306,16307,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16307,16308,1,227,1,3,1,1,3,1,2,2,0,0,35,35,68,13,3,5,284927,270251,0,0,1,1,1,1,2,2,2,2,1,0,44,0,5,2,2,5,0,0,0
16308,16309,1,227,3,2,3,1,3,1,2,2,0,0,60,60,5,1,1,4,230727,262338,0,0,1,1,1,2,2,1,2,1,1,0,14,20,2,1,0,2,0,0,0
16309,16310,1,227,3,3,3,3,3,3,2,2,0,0,0,0,143,249,2,2,1486635,1190988,0,0,1,3,3,3,2,2,2,2,1,0,0,100,2,1,1,1,0,0,0
16310,16311,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16311,16312,1,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,32363,17954,0,0,3,3,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16312,16313,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,194044,264361,0,0,3,3,1,3,2,1,2,2,1,0,32,180,2,0,0,2,0,0,0
16313,16314,1,227,3,3,3,3,3,1,2,2,0,0,0,0,0,0,0,0,10999,7494,0,0,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
16314,16315,1,227,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,25552,23614,0,0,1,3,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16315,16316,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16316,16317,1,344,3,3,1,3,3,1,2,2,0,0,0,0,0,0,1,0,57759,71241,0,0,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0
16317,16318,1,227,3,3,1,3,3,1,2,2,0,0,120,120,0,0,5,4,547071,595099,0,0,3,3,3,3,2,2,2,2,1,0,216,2,6,5,4,5,0,0,0
16318,16319,0,121,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2000,0,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16319,16320,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16320,16321,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16321,16322,1,201,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,244139,253787,0,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
16322,16323,2,227,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,6356,6004,0,0,1,1,1,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16323,16324,1,76,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,50107,62988,0,0,1,3,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16324,16325,1,227,3,3,3,3,1,3,2,2,0,0,0,0,0,0,0,0,420000,148827,1,0,3,3,3,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0
16325,16326,1,227,3,1,1,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16326,16327,1,227,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15680,25589,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16327,16328,1,227,3,2,3,3,3,1,1,2,0,0,0,0,0,0,0,0,38480,55796,0,0,3,1,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16328,16329,1,97,3,1,1,3,3,3,2,2,0,0,0,0,1,0,0,0,53675,46645,0,0,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
16329,16330,1,174,3,3,1,3,3,1,2,2,0,0,0,0,36,18,0,0,234240,382080,0,0,3,3,1,1,2,2,2,2,0,0,0,4,0,0,0,0,1,3,3
16330,16331,0,227,3,1,1,1,3,1,2,2,0,0,0,0,0,0,0,0,25,25,0,0,3,1,1,3,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
16331,16332,1,227,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,20619,21177,0,0,1,1,1,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16332,16333,1,69,3,3,3,3,3,1,2,2,0,0,0,0,57,0,1,0,94634,91301,0,1,1,3,1,1,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0
16333,16334,1,227,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,97373,128562,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16334,16335,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16335,16336,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16336,16337,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16337,16338,0,227,3,1,3,1,3,1,2,2,0,0,0,0,0,0,0,0,12000,12000,0,0,1,1,1,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
16338,16339,1,65,3,3,3,3,3,3,2,2,0,0,174,174,0,0,6,2,363422,381345,0,0,3,3,3,3,2,2,2,2,1,0,65,0,2,6,2,2,0,0,0
16339,16340,1,227,3,3,1,3,1,1,2,2,0,0,0,0,0,0,0,0,18720,22880,1,1,3,1,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16340,16341,1,227,3,3,1,3,1,3,2,2,0,0,0,0,0,0,0,0,47504,41113,0,0,3,3,1,3,2,1,2,1,1,0,0,0,2,0,0,0,0,0,0
16341,16342,1,227,3,1,3,1,1,1,2,2,0,0,0,0,0,62,1,2,467888,306590,1,1,1,1,1,3,2,1,2,2,1,0,0,0,6,0,2,0,0,0,0
16342,16343,1,227,3,1,3,3,3,1,2,1,0,0,31,31,0,0,0,0,106915,97067,1,1,3,3,1,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0
16343,16344,1,227,3,3,3,3,3,1,2,2,0,0,0,0,13,67,1,1,414037,400893,0,0,3,3,1,1,2,2,2,2,1,0,0,2,1,1,1,1,0,0,0
16344,16345,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16345,16346,2,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16346,16347,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16347,16348,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16348,16349,1,227,3,1,1,1,3,1,2,2,0,0,0,0,0,0,0,0,14500,18700,0,0,1,1,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0
16349,16350,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
